MsgID.LOCAL_POSITION,14.7580000,0.0346160,0.0914736,-0.0919568
MsgID.LOCAL_VELOCITY,14.7580000,-0.0027805,-0.0327754,0.0327960
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924813,0.1020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,0.0700000
MsgID.LOCAL_POSITION,15.0080000,0.0924707,0.2600070,-0.1024106
MsgID.LOCAL_VELOCITY,15.0080000,-0.0011296,-0.0245203,0.0767256
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924790,0.1000000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0200000,0.1600000
MsgID.LOCAL_POSITION,15.2580000,-0.1613849,0.3383158,-0.1000399
MsgID.LOCAL_VELOCITY,15.2580000,-0.0107914,-0.0301087,0.1669917
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924802,0.1260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.5080000,-0.0251959,0.2015446,-0.1268005
MsgID.LOCAL_VELOCITY,15.5080000,0.0000011,-0.0000163,0.0000025
MsgID.GLOBAL_POSITION,0.0000000,-122.3974526,37.7924809,0.1620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.7580000,0.0441413,0.0583512,-0.1632642
MsgID.LOCAL_VELOCITY,15.7580000,0.0000112,0.0000018,0.0000037
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924788,0.1920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.0080000,-0.1839132,0.1352296,-0.1928336
