time, Quad.Est.E.Pos, Quad.Est.S.Z
1.380008,0.018869,0.523057
1.385009,0.019040,0.524606
1.390009,0.016965,0.525641
1.395009,0.017031,0.527194
1.400009,0.016160,0.528232
1.405010,0.016182,0.529789
1.410010,0.015211,0.530829
1.415010,0.015185,0.532391
1.420010,0.016110,0.533434
1.425011,0.016130,0.535000
1.430011,0.013943,0.536045
1.435011,0.013858,0.537615
1.440011,0.013021,0.538663
1.445011,0.012899,0.540237
1.450012,0.012957,0.541288
1.455012,0.012842,0.542866
1.460012,0.012861,0.543919
1.465012,0.012750,0.545501
1.470013,0.014179,0.546556
1.475013,0.014140,0.548142
1.480013,0.014735,0.549201
1.485013,0.014726,0.550790
1.490014,0.014142,0.551851
1.495014,0.014105,0.553444
1.500014,0.013586,0.554508
1.505014,0.013526,0.556105
1.510015,0.013282,0.557171
1.515015,0.013213,0.558771
1.520015,0.014605,0.559839
1.525015,0.014604,0.561444
1.530015,0.013468,0.562514
1.535016,0.013413,0.564122
1.540016,0.012253,0.565195
1.545016,0.012145,0.566807
1.550016,0.011811,0.567882
1.555017,0.011691,0.569497
1.560017,0.014186,0.570575
1.565017,0.014188,0.572193
1.570017,0.012662,0.573273
1.575018,0.012591,0.574895
1.580018,0.013636,0.575978
1.585018,0.013618,0.577603
1.590018,0.014065,0.578687
1.595019,0.014068,0.580316
1.600019,0.012710,0.581403
1.605019,0.012649,0.583035
1.610019,0.012023,0.584124
1.615019,0.011934,0.585759
1.620020,0.011896,0.586850
1.625020,0.011809,0.588488
1.630020,0.011750,0.589582
1.635020,0.011663,0.591223
1.640021,0.011957,0.592319
1.645021,0.011887,0.593964
1.650021,0.013048,0.595061
1.655021,0.013035,0.596709
1.660022,0.014888,0.597809
1.665022,0.014965,0.599460
1.670022,0.015031,0.600562
1.675022,0.015109,0.602216
1.680022,0.013815,0.603320
1.685023,0.013828,0.604977
1.690023,0.014417,0.606083
1.695023,0.014458,0.607743
1.700023,0.014322,0.608851
1.705024,0.014355,0.610514
1.710024,0.014152,0.611624
1.715024,0.014174,0.613290
1.720024,0.014413,0.614401
1.725025,0.014445,0.616071
1.730025,0.015321,0.617184
1.735025,0.015395,0.618856
1.740025,0.015101,0.619972
1.745026,0.015159,0.621647
1.750026,0.015504,0.622764
1.755026,0.015576,0.624442
1.760026,0.015994,0.625561
1.765026,0.016084,0.627242
1.770027,0.015795,0.628363
1.775027,0.015868,0.630046
1.780027,0.015716,0.631169
1.785027,0.015779,0.632855
1.790028,0.014920,0.633980
1.795028,0.014940,0.635669
1.800028,0.015502,0.636796
1.805028,0.015549,0.638487
1.810029,0.014257,0.639616
1.815029,0.014240,0.641310
1.820029,0.013941,0.642440
1.825029,0.013911,0.644137
1.830029,0.013219,0.645269
1.835030,0.013158,0.646968
1.840030,0.013672,0.648102
1.845030,0.013636,0.649804
1.850030,0.014489,0.650940
1.855031,0.014495,0.652644
1.860031,0.013671,0.653781
1.865031,0.013638,0.655488
1.870031,0.014122,0.656627
1.875032,0.014113,0.658337
1.880032,0.015267,0.659478
1.885032,0.015313,0.661190
1.890032,0.016423,0.662332
1.895033,0.016521,0.664047
1.900033,0.017051,0.665190
1.905033,0.017172,0.666907
1.910033,0.015264,0.668053
1.915033,0.015289,0.669773
1.920034,0.015457,0.670920
1.925034,0.015490,0.672642
1.930034,0.015303,0.673790
1.935034,0.015325,0.675515
1.940035,0.015212,0.676665
1.945035,0.015228,0.678392
1.950035,0.014463,0.679543
1.955035,0.014442,0.681272
1.960036,0.015393,0.682426
1.965036,0.015418,0.684157
1.970036,0.015998,0.685312
1.975036,0.016051,0.687046
1.980036,0.017632,0.688202
1.985037,0.017759,0.689938
1.990037,0.016098,0.691096
1.995037,0.016141,0.692834
2.000037,0.017603,0.693994
2.005037,0.017714,0.695734
2.010037,0.019447,0.696895
2.015036,0.019639,0.698638
2.020036,0.019340,0.699801
2.025036,0.019512,0.701545
2.030035,0.019834,0.702709
2.035035,0.020016,0.704456
2.040035,0.020650,0.705622
2.045034,0.020856,0.707371
2.050034,0.021031,0.708538
2.055033,0.021239,0.710289
2.060033,0.022048,0.711457
2.065033,0.022288,0.713211
2.070032,0.021411,0.714381
2.075032,0.021600,0.716136
2.080032,0.021253,0.717307
2.085031,0.021420,0.719065
2.090031,0.022482,0.720238
2.095031,0.022697,0.721997
2.100030,0.022480,0.723171
2.105030,0.022677,0.724933
2.110029,0.022795,0.726108
2.115029,0.022992,0.727872
2.120029,0.023883,0.729049
2.125028,0.024120,0.730815
2.130028,0.024569,0.731993
2.135028,0.024823,0.733761
2.140027,0.023962,0.734940
2.145027,0.024164,0.736710
2.150027,0.023692,0.737890
2.155026,0.023863,0.739662
2.160026,0.024162,0.740844
2.165025,0.024346,0.742618
2.170025,0.023141,0.743801
2.175025,0.023255,0.745577
2.180024,0.024757,0.746762
2.185024,0.024948,0.748539
2.190024,0.025868,0.749725
2.195023,0.026105,0.751505
2.200023,0.025204,0.752692
2.205023,0.025386,0.754473
2.210022,0.024803,0.755662
2.215022,0.024949,0.757445
2.220021,0.025421,0.758635
2.225021,0.025589,0.760420
2.230021,0.024252,0.761611
2.235020,0.024343,0.763398
2.240020,0.025058,0.764591
2.245020,0.025185,0.766380
2.250019,0.024211,0.767573
2.255019,0.024281,0.769364
2.260019,0.022152,0.770558
2.265018,0.022103,0.772351
2.270018,0.022051,0.773547
2.275017,0.021998,0.775341
2.280017,0.023106,0.776538
2.285017,0.023114,0.778335
2.290016,0.023532,0.779533
2.295016,0.023561,0.781331
2.300016,0.022705,0.782530
2.305015,0.022685,0.784330
2.310015,0.024495,0.785531
2.315015,0.024573,0.787332
2.320014,0.025748,0.788534
2.325014,0.025887,0.790337
2.330014,0.025733,0.791540
2.335013,0.025861,0.793345
2.340013,0.026549,0.794549
2.345012,0.026711,0.796356
2.350012,0.028855,0.797561
2.355012,0.029128,0.799370
2.360011,0.028921,0.800576
2.365011,0.029179,0.802386
2.370011,0.030509,0.803594
2.375010,0.030832,0.805406
2.380010,0.029833,0.806614
2.385010,0.030098,0.808428
2.390009,0.026444,0.809637
2.395009,0.026512,0.811453
2.400008,0.025955,0.812663
2.405008,0.025991,0.814480
2.410008,0.025067,0.815692
2.415007,0.025052,0.817511
2.420007,0.025950,0.818724
2.425007,0.025981,0.820544
2.430006,0.023250,0.821758
2.435006,0.023138,0.823579
2.440006,0.022263,0.824795
2.445005,0.022107,0.826618
2.450005,0.024710,0.827834
2.455004,0.024688,0.829659
2.460004,0.023386,0.830876
2.465004,0.023297,0.832703
2.470003,0.022625,0.833921
2.475003,0.022502,0.835749
2.480003,0.022052,0.836969
2.485002,0.021907,0.838798
2.490002,0.022908,0.840019
2.495002,0.022815,0.841850
2.500001,0.022449,0.843071
2.505001,0.022338,0.844904
2.510000,0.024068,0.846127
2.515000,0.024045,0.847961
2.520000,0.022723,0.849185
2.524999,0.022634,0.851021
2.529999,0.024959,0.852245
2.534999,0.024987,0.854082
2.539998,0.023400,0.855308
2.544998,0.023348,0.857147
2.549998,0.024056,0.858373
2.554997,0.024039,0.860214
2.559997,0.024290,0.861441
2.564996,0.024285,0.863283
2.569996,0.025638,0.864512
2.574996,0.025700,0.866355
2.579995,0.022901,0.867584
2.584995,0.022823,0.869429
2.589995,0.023004,0.870660
2.594994,0.022935,0.872506
2.599994,0.023424,0.873738
2.604994,0.023380,0.875585
2.609993,0.022624,0.876818
2.614993,0.022543,0.878667
2.619992,0.022873,0.879900
2.624992,0.022809,0.881751
2.629992,0.021102,0.882985
2.634991,0.020956,0.884837
2.639991,0.019229,0.886073
2.644991,0.019003,0.887926
2.649990,0.023532,0.889162
2.654990,0.023528,0.891017
2.659990,0.019910,0.892255
2.664989,0.019731,0.894111
2.669989,0.021742,0.895349
2.674989,0.021664,0.897207
2.679988,0.021565,0.898446
2.684988,0.021483,0.900305
2.689987,0.021852,0.901545
2.694987,0.021790,0.903405
2.699987,0.023885,0.904646
2.704986,0.023924,0.906508
2.709986,0.024546,0.907750
2.714986,0.024615,0.909613
2.719985,0.024972,0.910856
2.724985,0.025056,0.912720
2.729985,0.023736,0.913964
2.734984,0.023755,0.915830
2.739984,0.023740,0.917075
2.744983,0.023757,0.918942
2.749983,0.025774,0.920187
2.754983,0.025888,0.922056
2.759982,0.026522,0.923302
2.764982,0.026663,0.925172
2.769982,0.028950,0.926419
2.774981,0.029197,0.928291
2.779981,0.028232,0.929539
2.784981,0.028427,0.931412
2.789980,0.024405,0.932660
2.794980,0.024404,0.934534
2.799979,0.025783,0.935784
2.804979,0.025847,0.937660
2.809979,0.028896,0.938910
2.814978,0.029103,0.940787
2.819978,0.025928,0.942038
2.824978,0.025980,0.943916
2.829977,0.027690,0.945168
2.834977,0.027821,0.947048
2.839977,0.030685,0.948301
2.844976,0.030949,0.950181
2.849976,0.029303,0.951435
2.854975,0.029483,0.953317
2.859975,0.028965,0.954572
2.864975,0.029115,0.956455
2.869974,0.029091,0.957711
2.874974,0.029236,0.959595
2.879974,0.029339,0.960852
2.884973,0.029486,0.962737
2.889973,0.027965,0.963995
2.894973,0.028036,0.965882
2.899972,0.028137,0.967140
2.904972,0.028211,0.969028
2.909971,0.029866,0.970287
2.914971,0.030017,0.972176
2.919971,0.029056,0.973436
2.924970,0.029157,0.975326
2.929970,0.027445,0.976587
2.934970,0.027463,0.978478
2.939969,0.026011,0.979740
2.944969,0.025960,0.981633
2.949969,0.022096,0.982895
2.954968,0.021865,0.984789
2.959968,0.021798,0.986053
2.964967,0.021569,0.987948
2.969967,0.021585,0.989212
2.974967,0.021362,0.991109
2.979966,0.021140,0.992373
2.984966,0.020912,0.994271
2.989966,0.021522,0.995537
2.994965,0.021328,0.997436
2.999965,0.019843,0.998702
3.004965,0.019585,1.000602
3.009964,0.019310,1.001869
3.014964,0.019046,1.003770
3.019964,0.016347,1.005038
3.024963,0.015966,1.006941
3.029963,0.018583,1.008209
3.034962,0.018331,1.010113
3.039962,0.016961,1.011383
3.044962,0.016653,1.013287
3.049961,0.016433,1.014558
3.054961,0.016124,1.016464
3.059961,0.017466,1.017735
3.064960,0.017227,1.019642
3.069960,0.016240,1.020913
3.074960,0.015964,1.022822
3.079959,0.015330,1.024094
3.084959,0.015034,1.026004
3.089958,0.013474,1.027277
3.094958,0.013122,1.029188
3.099958,0.013347,1.030462
3.104957,0.013017,1.032373
3.109957,0.014095,1.033648
3.114957,0.013822,1.035561
3.119956,0.015156,1.036837
3.124956,0.014949,1.038751
3.129956,0.014813,1.040027
3.134955,0.014608,1.041942
3.139955,0.014208,1.043219
3.144954,0.013995,1.045135
3.149954,0.013897,1.046413
3.154954,0.013688,1.048331
3.159953,0.011841,1.049609
3.164953,0.011571,1.051528
3.169953,0.009252,1.052807
3.174952,0.008923,1.054726
3.179952,0.009181,1.056007
3.184952,0.008877,1.057927
3.189951,0.010285,1.059208
